City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,11.5,scattered clouds
177,Komsomolskiy,UZ,40.4272,71.7189,66.92,30,0,4.61,clear sky
178,Pisco,PE,-13.7,-76.2167,62.65,77,0,11.5,clear sky
179,Burnie,AU,-41.0667,145.9167,45.07,89,95,19.77,overcast clouds
180,Banda Aceh,ID,5.5577,95.3222,78.69,77,100,8.9,overcast clouds
181,Hambantota,LK,6.1241,81.1185,77.34,94,20,4.61,few clouds
182,Amapa,BR,1.0,-52.0,72.21,97,100,2.46,overcast clouds
183,Zapolyarnyy,RU,69.4154,30.8136,42.08,84,100,12.64,overcast clouds
184,Yellowknife,CA,62.456,-114.3525,61.32,72,75,12.66,broken clouds
185,Lebu,CL,-37.6167,-73.65,50.81,92,100,27.76,overcast clouds
186,Republic,US,37.12,-93.4802,82.36,54,1,1.01,clear sky
187,Hobyo,SO,5.3505,48.5268,76.57,83,39,24.32,scattered clouds
188,Grindavik,IS,63.8424,-22.4338,51.75,100,90,10.36,light intensity drizzle
189,Chanika,TZ,-5.4167,38.0167,63.28,93,44,5.91,scattered clouds
190,Hami,CN,42.8,93.45,77.05,40,100,6.02,overcast clouds
191,Panguna,PG,-6.3164,155.4848,80.76,63,93,1.92,light rain
192,Bethel,US,41.3712,-73.414,73.81,73,1,4.61,clear sky
193,Svetlogorsk,BY,52.6333,29.7333,64.33,84,40,4.92,scattered clouds
194,Jimo,CN,36.3897,120.4622,80.38,83,20,2.24,few clouds
195,Diplo,PK,24.4667,69.584,82.31,69,96,16.2,overcast clouds
196,Zmeinogorsk,RU,51.1567,82.195,49.87,92,18,4.92,few clouds
197,Namatanai,PG,-3.6667,152.4333,82.83,73,79,6.58,moderate rain
198,Ponta Do Sol,PT,32.6667,-17.1,86.63,46,1,5.46,clear sky
199,Bubaque,GW,11.2833,-15.8333,78.4,82,100,9.4,moderate rain
200,Hay River,CA,60.8156,-115.7999,58.98,88,90,10.36,light rain
201,Arraial Do Cabo,BR,-22.9661,-42.0278,68.88,82,2,15.52,clear sky
202,Loikaw,MM,19.6742,97.2094,69.24,99,100,3.0,overcast clouds
203,Tiksi,RU,71.6872,128.8694,43.12,82,20,7.31,few clouds
204,Airai,TL,-8.9266,125.4092,67.62,58,31,5.21,scattered clouds
205,Sakaraha,MG,-22.9,44.5333,51.76,74,0,2.93,clear sky
206,Namibe,AO,-15.1961,12.1522,65.41,91,47,7.0,scattered clouds
207,Cherskiy,RU,68.75,161.3,43.27,85,100,3.89,overcast clouds
208,Margate,GB,51.3813,1.3862,63.91,81,57,1.99,broken clouds
209,Port Hedland,AU,-20.3167,118.5667,75.25,35,13,3.44,few clouds
210,Abu Dhabi,AE,24.4667,54.3667,93.31,75,0,4.61,clear sky
211,Carnarvon,AU,-24.8667,113.6333,64.47,75,45,6.91,scattered clouds
212,Tyukhtet,RU,56.5389,89.3011,55.47,78,94,4.45,overcast clouds
213,Phenix City,US,32.471,-85.0008,84.67,65,1,8.05,clear sky
214,Labrea,BR,-7.2586,-64.7981,81.84,44,31,1.21,scattered clouds
215,Sulangan,PH,11.1373,123.7228,82.85,75,96,4.03,overcast clouds
216,Marrakesh,MA,31.6315,-8.0083,87.87,25,40,3.44,scattered clouds
217,Oktyabrskiy,RU,54.4815,53.471,62.17,43,30,2.8,scattered clouds
218,Avarua,CK,-21.2078,-159.775,75.25,73,90,10.36,light rain
219,Smithers,CA,54.7804,-127.1743,68.32,30,75,11.5,broken clouds
220,Leningradskiy,RU,69.3833,178.4167,34.36,86,89,14.05,overcast clouds
221,Likasi,CD,-10.9814,26.7333,59.94,51,0,4.07,clear sky
222,Lasa,IT,46.6166,10.7002,68.88,83,10,3.15,clear sky
223,Salinopolis,BR,-0.6136,-47.3561,76.93,87,47,9.51,scattered clouds
224,Igarka,RU,67.4667,86.5833,53.64,93,99,11.3,overcast clouds
225,Montoro,ES,38.0241,-4.3834,93.97,16,29,3.65,scattered clouds
226,Saint Pete Beach,US,27.7253,-82.7412,81.19,83,20,1.99,light rain
227,Verkhoyansk,RU,67.5447,133.385,49.86,77,100,1.21,overcast clouds
228,Beyneu,KZ,45.3167,55.2,74.95,28,0,9.37,clear sky
229,Lucea,JM,18.451,-78.1736,77.86,74,79,7.25,moderate rain
230,Petrodvorets,RU,59.885,29.8958,59.11,82,53,16.2,broken clouds
231,Kibungo,RW,-2.1597,30.5427,63.52,56,45,2.46,scattered clouds
232,Te Anau,NZ,-45.4167,167.7167,42.82,96,86,10.22,overcast clouds
233,Ancud,CL,-41.8697,-73.8203,49.23,91,100,18.7,light rain
234,Nemuro,JP,43.3236,145.575,57.63,84,28,7.92,scattered clouds
235,Hauterive,FR,46.0901,3.4459,68.76,78,0,3.67,clear sky
236,Byron Bay,AU,-28.65,153.6167,73.71,56,15,5.84,few clouds
237,Nikolskoye,RU,59.7035,30.7861,59.02,85,31,10.42,scattered clouds
238,Babugarh,IN,28.7167,77.85,82.27,64,7,1.59,clear sky
239,Udon Thani,TH,17.3333,102.8333,75.11,100,75,5.75,broken clouds
240,Rixheim,FR,47.7514,7.4009,71.91,89,2,7.0,clear sky
241,Winslow,US,35.0242,-110.6974,95.18,22,1,1.01,clear sky
242,Ilulissat,GL,69.2167,-51.1,46.42,87,40,9.22,scattered clouds
243,Gualeguay,AR,-33.1416,-59.3097,51.03,75,5,5.57,clear sky
244,Dunedin,NZ,-45.8742,170.5036,58.8,33,89,15.01,overcast clouds
245,Eureka,US,40.8021,-124.1637,70.2,80,68,4.0,broken clouds
246,Ormara,PK,25.2088,64.6357,79.07,82,97,9.57,overcast clouds
247,Mahebourg,MU,-20.4081,57.7,68.29,83,40,10.36,light rain
248,Vila Velha,BR,-20.3297,-40.2925,71.55,83,75,4.61,broken clouds
249,Masallatah,LY,32.6167,14.0,75.94,80,0,5.79,clear sky
250,Sitka,US,57.0531,-135.33,55.29,88,75,0.0,light rain
251,Knysna,ZA,-34.0363,23.0471,50.38,55,2,5.93,clear sky
252,Morozovsk,RU,48.3539,41.8261,72.39,90,100,5.77,overcast clouds
253,Vestmannaeyjar,IS,63.4427,-20.2734,54.21,90,99,11.92,overcast clouds
254,Fortuna,US,40.5982,-124.1573,69.93,72,75,4.0,broken clouds
255,Maragogi,BR,-9.0122,-35.2225,72.36,78,54,9.15,broken clouds
256,Kapit,MY,2.0167,112.9333,74.39,99,100,0.6,overcast clouds
257,Maraa,BR,-1.8333,-65.3667,73.44,95,49,1.19,scattered clouds
258,Ushtobe,KZ,45.2514,77.9838,57.96,82,79,3.67,broken clouds
259,Tallahassee,US,30.4383,-84.2807,84.61,86,75,5.75,broken clouds
260,Hals,DK,56.9961,10.3081,55.99,93,100,4.97,light rain
261,Esmeraldas,BR,-19.7625,-44.3139,72.64,54,58,6.04,broken clouds
262,Cidreira,BR,-30.1811,-50.2056,58.03,94,33,3.8,scattered clouds
263,La Ronge,CA,55.1001,-105.2842,77.25,29,75,3.44,broken clouds
264,Codrington,AU,-38.2667,141.9667,51.75,77,82,20.62,broken clouds
265,Koumac,NC,-20.5667,164.2833,74.89,52,20,5.61,few clouds
266,Casambalangan,PH,18.3765,122.1274,82.87,78,98,4.97,overcast clouds
267,Portland,US,45.5234,-122.6762,98.89,33,40,1.99,haze
268,North Bend,US,43.4065,-124.2243,76.24,78,90,12.66,overcast clouds
269,Samarai,PG,-10.6167,150.6667,79.25,84,31,14.52,scattered clouds
270,Pringsewu,ID,-5.3582,104.9744,75.87,88,100,1.61,overcast clouds
271,Buraydah,SA,26.326,43.975,90.05,18,0,7.38,clear sky
272,Oussouye,SN,12.485,-16.5469,80.69,89,98,3.76,light rain
273,Kilindoni,TZ,-7.9139,39.6668,75.99,78,18,15.82,few clouds
274,San Cristobal,VE,7.7669,-72.225,73.58,99,51,2.84,broken clouds
275,Mastic,US,40.802,-72.8409,75.18,71,1,3.44,clear sky
276,Kelowna,CA,49.8831,-119.4857,96.15,14,90,7.0,overcast clouds
277,Cayenne,GF,4.9333,-52.3333,78.1,87,0,0.0,clear sky
278,Dire,ML,12.2833,-10.9667,73.29,95,98,1.97,overcast clouds
279,Qui Nhon,VN,13.7667,109.2333,78.03,73,75,2.26,broken clouds
280,Thohoyandou,ZA,-22.9456,30.485,52.48,82,0,1.95,clear sky
281,Havre,FR,49.5833,0.3333,61.2,88,90,17.27,overcast clouds
282,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,80,99,9.1,overcast clouds
283,Falam,MM,22.9167,93.6833,64.71,99,100,1.97,overcast clouds
284,Mount Gambier,AU,-37.8333,140.7667,51.71,87,90,14.97,overcast clouds
285,Sao Lourenco,BR,-22.1164,-45.0544,67.37,58,58,2.42,broken clouds
286,Souillac,MU,-20.5167,57.5167,68.38,83,40,10.36,scattered clouds
287,Nanortalik,GL,60.1432,-45.2371,49.08,98,100,12.1,light rain
288,Petlawad,IN,23.0,74.8,73.4,90,65,5.17,broken clouds
289,Saint-Georges,GD,12.0564,-61.7485,76.68,88,20,8.05,few clouds
290,Zhezkazgan,KZ,47.8043,67.7144,65.19,41,5,6.71,clear sky
291,Tambun,ID,-6.2641,107.0712,78.84,78,100,0.0,haze
292,Deniliquin,AU,-35.5333,144.9667,54.0,65,16,16.08,few clouds
293,Padang,ID,-0.9492,100.3543,77.38,85,100,3.62,overcast clouds
294,Ilek,RU,51.5271,53.3831,70.21,24,52,2.98,broken clouds
295,Marabba,SD,12.35,32.1833,76.01,84,92,6.55,overcast clouds
296,Meulaboh,ID,4.1363,96.1285,75.97,89,100,8.75,overcast clouds
297,Svetlyy,RU,54.675,20.1347,55.45,84,50,8.16,scattered clouds
298,Nortelandia,BR,-14.4547,-56.8028,79.59,34,35,1.79,scattered clouds
299,Arinos,BR,-15.9169,-46.1056,72.77,37,1,2.8,clear sky
300,Henties Bay,NA,-22.116,14.2845,52.86,88,12,2.57,few clouds
301,Port Hardy,CA,50.6996,-127.4199,60.98,100,90,0.0,light rain
302,Morgan City,US,29.6994,-91.2068,84.99,81,42,6.55,scattered clouds
303,Shahreza,IR,32.0339,51.8794,69.35,20,0,2.62,clear sky
304,Kavieng,PG,-2.5744,150.7967,83.64,74,83,8.88,light rain
305,Novosemeykino,RU,53.3833,50.3667,61.75,51,0,6.71,clear sky
306,Sembe,CG,1.6481,14.5806,73.83,84,96,0.76,overcast clouds
307,Lapeer,US,43.0514,-83.3188,73.89,56,1,0.0,clear sky
308,Seoul,KR,37.5683,126.9778,80.17,57,0,10.36,clear sky
309,Mailsi,PK,29.8003,72.1758,88.25,45,33,6.91,scattered clouds
310,Mnogovershinnyy,RU,53.9353,139.9242,72.82,52,11,4.32,few clouds
311,San Patricio,US,28.017,-97.5169,90.01,55,65,14.7,broken clouds
312,Yumen,CN,40.2833,97.2,71.82,36,31,17.52,scattered clouds
313,Castro,BR,-24.7911,-50.0119,58.66,87,25,2.44,scattered clouds
314,Coihaique,CL,-45.5752,-72.0662,41.34,98,100,4.88,light rain
315,Saint Anthony,US,45.0205,-93.218,82.81,43,1,5.01,clear sky
316,Slatina,RO,44.4333,24.3667,73.09,42,0,5.08,clear sky
317,Fort Nelson,CA,58.8053,-122.7002,62.19,72,75,13.8,light intensity shower rain
318,Nioro,GM,13.35,-15.75,76.84,86,100,5.75,overcast clouds
319,Isangel,VU,-19.55,169.2667,78.91,50,75,9.22,broken clouds
320,Vaitape,PF,-16.5167,-151.75,78.85,73,10,8.81,clear sky
321,Mondragone,IT,41.1141,13.8935,81.39,88,0,0.29,clear sky
322,Kirakira,SB,-10.4544,161.9205,81.95,80,88,12.82,overcast clouds
323,Morant Bay,JM,17.8815,-76.4093,85.62,78,92,8.05,overcast clouds
324,Dingle,PH,10.9995,122.6711,81.86,80,63,5.12,light rain
325,Port Lincoln,AU,-34.7333,135.8667,55.62,71,96,8.52,overcast clouds
326,Adrar,MR,20.5022,-10.0711,93.7,16,41,8.01,scattered clouds
327,Buchanan,LR,5.8808,-10.0467,75.99,76,93,6.46,overcast clouds
328,Spring Valley,US,36.108,-115.245,108.88,17,20,4.61,few clouds
329,Bonavista,CA,48.6499,-53.1147,73.4,95,51,12.97,broken clouds
330,Mount Isa,AU,-20.7333,139.5,74.97,25,0,11.5,clear sky
331,Kamina,CD,-8.7386,24.9906,64.47,36,1,4.9,clear sky
332,Mezen,RU,65.8522,44.24,54.05,94,56,10.8,broken clouds
333,Pacific Grove,US,36.6177,-121.9166,95.61,85,1,3.0,clear sky
334,Bunol,ES,39.4167,-0.7833,78.8,32,44,4.09,scattered clouds
335,Le Vauclin,MQ,14.5452,-60.8388,81.84,83,20,6.91,few clouds
336,Nizhniy Kuranakh,RU,58.8353,125.4869,74.71,55,10,6.24,clear sky
